Abbreviation,Term
1 DENT UNIT HQ,1 Dental Unit Headquarters
1 R NFLD R Band,"1st Battalion, The Royal Newfoundland Regiment Band"
1 RNBR,"1er Bataillon, The Royal New Brunswick Regiment  (Carleton and York)"
1 RNBR,"1st Battalion, The Royal New Brunswick Regiment  (Carleton and York)"
10 Fd Regt,10th Field Regiment
11 H Svcs C Det Calgary,11 Health Services Centre Detachment Calgary
13 MP Pl,13 Military Police Platoon
15 MP Pl,15 Military Police Platoon
2 Cdn Air Div/AFDTDiv,2 Canadian Air Division/Air Force Doctrine and Training Division
2 RNBR,"2e Bataillon, The Royal New Brunswick Regiment (North Shore)"
2 RNBR,"2nd Battalion, The Royal New Brunswick Regiment (North Shore)"
20 Fd Regt,20th Field Regiment
26 Fd Regt,26th Field Regiment
2IC,second in command
3 ASG CE,3 Area Support Group Construction Engineering
30 Fd Regt,30th Field Regiment
31 MP Pl,31 Military Police Platoon
34 CBG Band,34 Canadian Brigade Group Band
"35 CBG HQ, MP Coy","35 Canadian Brigade Group Headquarters, Military Police Company"
36 CBG Band,36 Canadian Brigade Group Band
5 ASG HQ,5 Area Support Group Headquarters
6 Fd Regt,6th Field Regiment
A1,A1 Administration
A3,A3 Operations
A4,A4 Logistics
A5,A5 Public Affairs
A6,A6 Telecommunication and Information Services
A7,A7 Force Development and Plans
AArmour,antiarmour
A Trans B,Army Transformation Board
A Trans WG,Army Transformation Working Group
A/--,acting
AA,Airworthiness Authority
AAA,air avenue of approach
AAF,allied air force
AAG,Arrival Assistance Group
AAH,antiarmour helicopter
AAR,after-action review
AAS,aircraft arresting system
AAW,antiarmour weapon
AAWC,anti-air warfare controller
AB,able seaman
AB,airborne
ABCO,airborne control officer
ABDR,aircraft battle damage repair
ABF,airborne force
ABFLO,airborne force liaison officer
AB op,airborne operation
ABTC,airborne training centre
AC,antichar
AC,army corps
ACA,airspace control authority
ACC CIS,Air Component Command Communication Information Specialist
Accn O,accommodation officer
acct,account
acct,accounting
Accts O,accounts officer
ACD Adv,Assistant Canadian Defence Adviser
ACDA,Assistant Canadian Defence Attaché
ACEM,aimed controlled effect mine
ACGU,"Australia, Canada, Great Britain and USA"
ACIMS,Army Collaborative Information Management Services
ACK,acknowledgement
ACMG,air combat and mobility group 
ACOS,assistant chief of staff
ACP,aid of the civil power
ACP,advanced command post
ACP,Allied communications publication
ACPO,assistant command post officer
ACR,anticipated consumption rate
AD,armoured dozer 
ADA,air duty allowance
ADAC,Acoustic Data Analysis Centre
ADAC (Pacific)/ADAC(P),Acoustic Data Analysis Centre Pacific
ADATS,air defence anti-tank system
ADDN,Automated Defence Data Network
ADM(HR-Civ),Assistant Deputy Minister (Human Resources - Civilian)
ADM (HR- Civ Transfers),Assistant Deputy Minister (Human Resources - Civilian Transfers)
ADM(IE),Assistant Deputy Minister (Infrastructure and Environment)
ADM(IM),Assistant Deputy Minister (Information Management)
ADM(PA),Assistant Deputy Minister (Public Affairs)
ADM(Pol),Assistant Deputy Minister (Policy)
ADM(RS),Assistant Deputy Minister (Review Services)
ADM(S&T),Assistant Deputy Minister (Science and Technology)
Admin O,administrative officer
Admin Sp O,administration support officer
ADS,air dispatch service
AENLO,aeromedical evacuation nursing liaison officer
AETE,Aerospace Engineering Test Establishment
AETP,Ammunition and Explosives Terminology Panel
AEV,armoured engineer vehicle
AEW,air expeditionary wing
AF,Air Force
AF,augmentation force
AFC,Armed Forces Council
AFCS,automatic flight control system
aff,affecter
AFTP,Air Force Terminology Panel
AFV,armoured fighting vehicle
AG,army group
AGL,above ground level
AGO,air gunnery officer
Ah,ampere-hour
AH,attack helicopter
AHSVS,armoured heavy support vehicle system
AI,air interception
AI,air interdiction
AI,aeronautical information
AIG,address indicating group
AIG,assistant instructor in gunnery
Air Ops NCM,air operations non-commissioned member
Air Res,Air Reserve
AIRCOM Academy,Air Command Academy
AIRCOM NCM Academy,Air Command Non-Commissioned Member Academy
ALBM,air-launched ballistic missile
allce,allowance
ALO,air liaison officer
ALOA,allowance – loss of operational allowances
ALQ,advanced leadership qualification
altn HQ,alternate headquarters
AMCRO,aircraft maintenance control and repair office
Ammo O,ammunition officer
amph,amphibious
AMRAAM,advanced medium-range air-to-air missile
AMSL,above mean sea level
anchor OP,anchor observation post
anlst,analyste
AO,area of operations
AO,assisting officer
AOR,area of responsibility
AOSI,area of strategic interest
APAO,area public affairs officer
APC(T),armoured personnel carrier (tracked)
APC(W),armoured personnel carrier (wheeled)
API,air photo interpretation
APIS,armour piercing incendiary shell
APMS,automated posting message system
APS,active posting season
APU,auxiliary power unit
ARCG,Arctic Response Company Group
armd,armoured
armd bde,armoured brigade
armd div,armoured division
arr,arrive
ARV,armoured recovery vehicle
ASAP,as soon as possible
ASF,auxiliary security force
ASG,area support group
ASG Comd,area support group commander
ASG Engr,area support group – engineers
ASG HQ,area support group headquarters
ASG Ops,area support group operations
ASG Sigs,area support group – signals
ASH Band,The Argyll and Sutherland Highlanders of Canada (Princess Louise’s) Band
ASIC,Air and Space Interoperability Council
ASM,antiship missile
ASO,accounting services officer
ASRAAM,advanced short-range air-to-air missile
Assoc DM,Associate Deputy Minister of National Defence
Associate MND,Associate Minister of National Defence
Asst C Air Force,Assistant Chief of the Air Force Staff
Asst C Army,Assistant Chief of the Army Staff
Asst C Naval,Assistant Chief of the Naval Staff
assy,assembly
ASTC,area simulation training centre
ASU Calgary,Area Support Unit Calgary
ASU Chilliwack,Area Support Unit Chilliwack
ASU London,Area Support Unit London
ASU N Ontario,Area Support Unit Northern Ontario
ASW,antisubmarine warfare
ASWO,antisubmarine warfare officer
ASWOC,antisubmarine warfare operations centre
ATA,actual time of arrival
ATAF,allied tactical air force
ATC,air traffic control
ATC,army training centre
ATC,aviation training centre
ATCO,air traffic control officer
ATESS,Aerospace and Telecommunications Engineering Support Squadron
ATGW,anti-tank guided weapon
ATH,antitank helicopter
ATIP,access to information and privacy
ATIP Coord,Access to Information and Privacy Coordinator
ATO,ammunition technical officer
ATOC,allied tactical operations centre
ATRL,antitank rocket launcher
ATTS,Air Technical Training Squadron
ATV,all-terrain vehicle
AVO,air vehicle operator
AUSCANNZUKUS,"Australia, Canada, New Zealand, United Kingsdon and United States of America"
auth,authority
auth,authorization
auth,authorize
AVGP,"armoured vehicle, general purpose"
AVIMS,Automated Vehicle Inventory Management System
AVLB,armoured vehicle launched bridge
AWACS,airborne warning and control system
AWOA,absent without authority
AWOL,absent without leave
B&R,brass & reed
B Admin O,base administrative officer
B Comd,base commander
B Comd SO,base commander’s staff officer
B Secur O,base security officer
B.C.,British Columbia
BAE,battlefield area evaluation
BAI,battlefield air interdiction
BAIO,brigade artillery intelligence officer
basic trg,basic training
BB,Bailey bridge
BC,battery commander
BC,battle captain
BCWO,base chief warrant officer
Bde CWO,brigade chief warrant officer
BDF,base defence force
bdry,boundary
BE shell,base ejection shell
BE smk shell,base ejection smoke shell
BER,beyond economical repair
BFSM,battlefield frequency spectrum management
Bhd,beachhead
BIFFS,battlefield identification friend or foe system
BK,battery captain
BL,bomb line
bldg,building
blg,building
BLP,backloading point
BLR,beyond local repair
blue SA,blue situational awareness
BMT,business management team
BofS,break of silence
BOMREP,bombing report
BP,business plan
BP,business planning
BPAO,base public affairs officer
BPG,Bi-National Planning Group
BPO,base post office
BPSO,base personnel selection officer
BQMS,battery quartermaster sergeant
BR,beyond repair
br,branch
br,branche
BRO,battery reconnaissance officer
brown SA,brown situational awareness
BSL,battle school
BTWO,battery technical warrant officer
bty clk,battery clerk
bus plan,business planner
BW,biological warfare
BWO,base warrant officer
C4ISROC,C4ISR Oversight Committee
CA,certification authority
CA,certificate authority
C Air Force,Chief of the Air Force Staff
C Army,Chief of the Army Staff
C atk,counter-attack
C Naval ,Chief of the Naval Staff
C&A,certification and accreditation
C2,command and control
C2W,command and control warfare
CAC – CO,continent air component – commanding officer
CAF,Canadian Armed Forces
CAF SRTSM,Canadian Armed Forces Strategic Response Team on Sexual Misconduct
CAG,Capabilities Advisory Group
CAIO,corps artillery intelligence officer
cam,camouflage
CAM,capability assessment methodology
Cameron of C,The Queen’s Own Cameron Highlanders of Canada
CANAVLO,Canadian naval liaison officer
CANEX,Canadian Forces Exchange System
CANEXHQ,Canadian Forces exchange system headquarters
CANFLTLANT,Canadian Fleet Atlantic
CANFLTLANT HQ,Canadian Fleet Atlantic Headquarters
CANFLTPAC,Canadian Fleet Pacific
CANMILREP,Canadian Representative to the Military Committee
CANSOF,Canadian special operations forces
CANSOFCOM,Canadian Special Operations Forces Command
CANUS,Canada – United States of America
CAO,counter-air operation
CAOC,Combined Aerospace Operations Centre
COAC CCO,Combined Aerospace Operations Centre Chief of Combat Operations
CAOC Duty Watch,Combined Aerospace Operations Centre Duty Watch
CAOC DWO,Combined Aerospace Operations Centre Duty Watch Officer
CARC,chemical agent resistant coating
CAT,CDS Action Team
CAT 1 – C2,CDS Action Team 1 – command and Control
CAT 2 – FG,CDS Action Team 2 – Force Generation
CAT 3 – OC,CDS Action Team 3 – Operational Capabilities
CAT 4 – IA,CDS Action Team 4 – Institutional Alignment
CATCAM,CDS Action Team Capability Assessment Methodology
CB,confined to barracks
CB,counter-battery
CBTAS,counterbattery target acquisition system
Cbt O,combat officer
CC,Commanders’ Council
CC,commis-chef
CC,Companion of the Order of Canada
CC Avn,commander corps aviation
CC Sigs,commander corps signals
CCA,commander corps artillery
CCC,Criminal Code of Canada
CCE,commander corps engineers
CCEB,Combined Communications-Electronics Board
CCIS O,"command, control and information system officer"
CClk,chief clerk
CCM,counter-countermeasure
CCM,cross-country movement
CCO,Canadian Cadet Organization
CCP,casualty collecting post
CCPS,central computerized pay system
CCWO,Command chief warrant officer
CD,Canadian Forces’ Decoration
CD Adv,Canadian Defence Adviser
CDA,Canadian Defence Attaché
CDB,Capability Development Board
CDE,commander division engineers
CDIO,CJOC Directives for International Operations
CDLS (W) SR,Canadian Defence Liaison Staff (Washington) Screenings and Releases
CDS,Chief of the Defence Staff
CDU Clk,Care Delivery Unit Clerk
CE,construction engineering
CEASS,Close Engagement Ammunition Simulation System 
CEO,chief executive officer
CEOI,communications-electronics operating instructions
CEOTP,Continuing Education Officer Training Plan
CEP,civil emergency planning
CERA,chief engine room artificer
CES,construction engineering squadron
CESI,communications-electronics standing instructions
CET,combat engineer tractor
CEU,construction engineering unit
CF,Canadian Forces
CF H Svcs Gp,Canadian Forces Health Services Group
CF H Svcs Gp HQ,Canadian Forces Health Services Group Headquarters
CF H Svcs TC,Canadian Forces Health Services Training Centre
CFA,Canadian Forces Attaché
CFA,covering force area
CFA,ceasefire agreement
CFAA,Canadian Forces Air Attaché
CFAA,corps forward administrative area
CFACC,combined force air component commander
CFACC Fwd,Combined Force Air Component Commander Forward
CFAD ,Canadian Forces Ammunition Depot 
CFAD Angus,Canadian Forces Ammunition Depot Angus
CFAD Bedford,Canadian Forces Ammunition Depot Bedford
CFAD Dundurn,Canadian Forces Ammunition Depot Dundurn
CFAD Edmonton,Canadian Forces Ammunition Depot Edmonton
CFAD Rocky Point,Canadian Forces Ammunition Depot Rocky Point
CFATC,Canadian Forces Arctic Training Centre
CFB,Canadian Forces base
CFC-A,Combines Forces Command – Afghanistan
CFCPA,Canadian Forces Campaign Plan Advisor
CFCS,Canadian Forces Command System
CFCS Sp,Canadian Forces Command System support
CFDA,Central Force Development Authority
CFDS,Canada First Defence Strategy
CFDSS,Canadian Forces Dental Services School
CFDTI,Canadian Forces Temporary Duty Travel Instructions
CFFTS,Canadian Forces Flying Training School
CFGB,Canadian Forces Grievance Board
CFHA,Canadian Forces Housing Agency
CFHCC,Canadian Forces Health Care Centre
CFHIS,Canadian Forces Health Information System
CFI,chief flying instructor
CFICC Exped,Canadian Forces Integrated Command Centre Expetitionary
CFICC SWO,Canadian Forces Integrated Command Centre Senior Watch Officer
CFILO (L),Canadian Forces Intelligence Liaison Staff (London)
CFILO (W),Canadian Forces Intelligence Liaison Staff (Washington)
CFIOG,Canadian Forces Information Operations Group
CFIRP,Canadian Forces Integrated Relocation Program
CFITP,Canadian Forces Index of Technical Publications
CFJHQ,Canadian Forces Joint Headquarters
CFJOG,Canadian Forces Joint Operations Group
CFJP,Canadian Forces Joint Publication 
CFLC,Canadian Forces Liaison Council
CFLCC,Combined Forces Land Component Command
CFLDC,Canadian Forces Learning and Development Centre
CFLO,Canadian Forces liaison officer
CFLRS,Canadian Forces Leadership and Recruit School
CFLS,Canadian Forces Language School
CFLS Ottawa,Canadian Forces Language School Ottawa
CFLTC,Canadian Forces Logistics Training Centre
CFMA,Canadian Forces military attaché
CFMAP,Canadian Forces Member Assistance Programme
CFMDS,Canadian Forces Management Development School
CFMETR,Canadian Forces Maritime Experimental and Test Ranges
CFMPA,Canadian Forces Military Police Academy
CF MP Gp,Canadian Forces Military Police Group
CFMSP,Canadian Forces Military Studies Programme
CFMSS,Canadian Forces Medical Services School
CFMWC,Canadian Forces Maritime Warfare Centre
Cfn,craftsman
CFNA,Canadian Forces Northern Area
CFNCIU,Canadian Forces National Counter-Intelligence Unit
CFNIS,Canadian Forces National Investigation Service
CFNOC,Canadian Forces Network Operations Centre
CFO,chief financial officer
CFOO,Canadian Forces Organization Order
CFP,Canadian Forces Publication
CFPMP,Canadian Forces Pension Modernization Project
CFPO,Canadian Forces Post Office
CFPSU,Canadian Forces Protective Services Unit
CFR,commissioned from the ranks
CFRB,Canadian Forces Reserve Barracks
CFRG,Canadian Forces Recruiting Group
CFRG HQ,Canadian Forces Recruiting Group Headquarters
CFRIMS,Canadian Forces Recruiting Information Management System
CFS,Canadian Forces station
CFS Leitrim,Canadian Forces Station Leitrim
CFSA,Canadian Forces Superannuation Act
CFSACO,Canadian Forces School of Aerospace Control Operations
CFSATE,Canadian Forces School of Aerospace Technology and Engineering
CFSCE,Canadian Forces School of Communications and Electronics
CFSIOC,Canadian Forces Signals Intelligence Operations Centre
CFSM,Canadian Forces Supply Manual
CFSME,Canadian Forces School of Military Engineering
CFSMI,Canadian Forces School of Military Intelligence
CFSO,Canadian Forces Supplementary Orders
CFSOC,Canadian Forces SIGINT Operations Centre
CFSPDB,Canadian Forces Service Prison and Detention Barracks
CFSS,Canadian Forces Staff School
CFSSAR,Canadian Forces School of Search and Rescue
CFSSAT,Canadian Forces School of Survival and Aeromedical Training
CFSTG,Canadian Forces Support Training Group
CFSU,Canadian Forces support unit
CFSUI,Canadian Forces Support Unit (Europe)
CFSU (Europe),Canadian Forces Support Unit (Europe)
CFTA,Canadian Forces training area
CFTDC,Canadian Forces Training Development Centre
CFTO,Canadian Forces Technical Order
CFTPO,Canadian Forces Task Plans and Operations
CFTTC,Canadian Forces Trauma Training Centre 
CFUTTH,Canadian Forces Utility Tactical Transport Helicopter
CFV,ceasefire violation
CFX,command field exercise
CoG,centre of gravity
CGCM,Canadian Government Catalogue of Materiel
CGCS,Canadian Government Cataloguing System
chap,chapter
Chap(RC),chaplain (Roman Catholic)
CHEBP,chemical high explosive burster projectile
Chief Army Ops,Chief of Army Operations
CHRC,Civilian Human Resources Committee
CI,chief instructor
CIO,chief information officer
CIOR,Interallied Confederation of Reserve Officers
CIPPR,Capital Investment Programme Plan Review
CJFMCCC,Coalition Joint Forces Movement Coordination Command Centre
CJIRU-CBRN,"Canadian Joint Incident Response Unit – Chemical, Biological, Radiological and Nuclear"
CJTF,combined joint task force
cl,classified
CLAS Requests,Commercial Law Advisory Services Requests
CLEBJ,chemical low explosive burster projectile
CLGP,cannon-lauched guided projectile
CLO,cadet liaison officer
clo,clothing
CLOS,command to line-of-sight
clo stmn,clothing storeman
clr,clear
CLS Supt Clk,Chief of the Land Staff superintendent clerk
CM,countermeasure
CM,Member of the Order of Canada
CMAC,Court Martial Appeal Court of Canada
CMBG,Canadian Mechanized Brigade Group
CMC,Chairman of the Military Committee
CME,Canadian Military Engineer Branch
CMJ,chief military judge
CMM,Commander of the Order of Military Merit
CMP,Chief of Military Personnel
CMP D Mil Pers Mgt,Chief Military Personnel Director Military Personnel Management
CMP GO,Chief Military Personnel General Office
CMP Griev Sect,Chief of Military Personnel Grievance Section
CMP LIT Claims,Chief Military Personnel Litigation Implementation Team Claim Verification
CMP LIT Clerical,Chief Military Personnel Litigation Implementation Team Clerical Support
CMP LIT General,Chief Military Personnel Litigation Implementation Team General Inbox
CMP LIT RMI,Chief Military Personnel Litigation Implementation Team Reconciliation Measures
CMP OR,Chief Military Personnel Orderly Room
CMP Rep P1,Chief of Military Personnel Reporting P1
CMTC, Canadian Manoeuvre Training Centre
CNI,chief navigator instructor
CO,commanding officer
CofA,centre of arc
CO Admin Asst,commanding officer’s administrative assistant
CoC,chain of command
COC,change of command
COEFOR,contemporary operating environment force
C of M,correction of the moment
COI,conflict of interest
COI,community of interests
coll trg,collective training
col smk shell,coloured smoke shell
COM,Commander of the Order of Merit of the Police Forces
Comd CA,Commander of the Canadian Army
COMEDGP,corps medical group
Comm Res Det Shilo,Communications Reserve Detachment Shilo
COMPT Asst CMP - DGMPSS,Comptroller of Assistant Chief of Military Personnel and Director General Military Personnel Support
Compt LFC,Comptroller Land Force Command
COMSEC O,communications security officer
CONOP,contingency operation
CONOPLAN,contingency operation plan
CONOPS,concept of operations
CONPLAN,contingency plan
const engr,construction engineers
Contract O,contracts officer
coord instr,coordination instruction
coord pt,coordinating point
COP,common operational picture
COREX,crew operational and readiness exercise
corps tps,corps troops
COS,change of strength
COS,chief of staff
COS JFG,chief of staff joint force generation
COS Land Ops,Chief of Staff Land Operations
COSMIC Con O,COSMIC control officer
COTS,commercial off-the-shelf
Coxn,coxswain
COLPRO,collective protection
CP,command post
CPO 1,"chief petty officer, 1st class"
CPO 2,"chief petty officer, 2nd class"
CPRR ,Civilian Performance Review Report
CPSM,Canadian Peacekeeping Service Medal
CPU,Close Protection Unit
CP veh,command post vehicle
CRC,control and reporting centre
CRC (A),Conflict Resolution Centre (Atlantic)
CR Clk,central registry clerk
CRDA,Continuous Review and Data Analysis
Cred Ver,Credentialing and Verification
CRMP,Canadian Rangers Modernization Project
CRNA,Canadian Rangers National Authority
CROMIS,Client-Reported Outcomes Management Information System
CRPG,Canadian Rangers Patrol Group
CRPTC,Connaught Range Primary Training Centre
CRS,control and reporting system
CRS,Chief Review Services
crypto,cryptographie
crypto,cryptography
CRZ,Classified Restricted Zone
CSAM,crew situational awareness monitor
CSAR,combat search and rescue
CSE,Communication Security Establishment
CSEC,Communications Security Establishment Canada
CSEO,Combat Systems Engineering Officer
CSG,Canadian Support Group
CSN,Canadian Switched Network
CSNI,Consolidated Secret Network Infrastructure
CSSS,Canadian Space Surveillance System
CSU,Canadian Support Unit
CT,Chief of Transformation
CTC,Combat Training Centre
CTDC,Classified Test and Development Centre
CTS,course training standards
CTSO,counterterrorist special operations
CUA,clothing upkeep allowance
CUSRPG,Canada – United States Regional Planning Group
CV,command vehicle
CV,Cross of Valour
CVO,Commander of the Royal Victorian Order
CW,chemical warfare
CWC,chemical weapons convention
CWO,chief warrant officer
D2BNET,Defence-to-Business Network
D2P,Defence-to-Partners
D2Pnet,Defence-to-Partners Network
D Law,Director of Law
D Med Pol,Director Medical Policy
DA coy,direct action company
DAIO,division artillery intelligence officer
D Air FR,Director Air Force Readiness
DAOD,Defence Administrative Orders and Directives
DART,Disaster Assistance Response Team
DBMC,Defence Business Management Capability
DBMCT,Defence Business Management Capability Transformation
DCAAR,Defence Controlled Access Area Regulations
DCO,deputy commanding officer
DCOS,deputy chief of staff
DCOS FTA,Deputy Chief of Staff Formation Technical Authority
DCP,Defence Capability Plan
DCR,Designated Client Representative
DCS,Defence Compute Services
DCSE,Distributed Computing Services Engineering
DDC,Defence Diversity Council
DDH,destroyer helicopter carrying
DDIO,DCDS Direction for International Operations
Deck O,deck officer
DEDS,Defence Electronic Directory Service
DEM,director of staff
DEMS,Defence Electronic Mail System
Dent O,dental officer
DEW,directed-energy weapon
DF,direction-finding
DFSR,Defence Force Structure Review
DFSV,direct fire support vehicle
DGAEPMFT,Director General Aerospace Equipment Program Management (Fighters and Trainers) 
DG Air Res,Director General Air Reserve
DPG,Defence Planning Guidance
DH,double-hatted
DIG,Defence Industry Gateway
DIHRS,Defence Integrated Human Resource System
DIN,Defence Information Network
DISB,Defence Information Services Broker
Div O,diving officer
DJA,Deputy Judge Advocate
DJAG/COS,Deputy Judge Advocate General/Chief of Staff
DKIM PERMIS,Director Knowledge and Information Management – Personnel Electronic Records Management Information System
DLOC,deployment level of capability
DM,Deputy Minister of National Defence
DMOC,Defence Management Oversight Committee
D Mus,Director of Music
DND,Department of National Defence
DNDAF,Department of National Defence and the Canadian Forces Architecture Framework
DO,duty officer
DOB,date of birth
DOS,director of staff
Dot Ext ,Dotation Externe
DPALC,Defence Public Affairs Learning Centre
DPB,Defence Planning Board
DPC,Defence Planning Committee
DRACS,Deployable Remote Access Communication System
DRDC,Defence Research and Development Canada
DRDC ISSO,Defence Research and Development Canada Information Systems Security Officer
DRDC NCR SEC,Defence Research and Development Canada National Capital Region Security
DRMIS  ,Defence Resource Management Information System
DRP,Distribution Resource Planning
DRTSET,Deployment Readiness Training Standardization and Evaluation Team
DRZ,Designated Restricted Zone
DS,directing staff
DSO,departmental security officer
DSO,duty staff officer
DSP,Defence Services Programme
DSST,deployed SIGINT support team
DSX,Defence Strategic Executive Committee
DTB,Defence Terminology Bank
DTFC,Deputy Task Force Commander
DTMS,Defence Terminology Management System
DTMSS,Defence Terminology Management Software Suite
DTP,Defence Terminology Programme
DTS,Defence Terminology Section
DTSB,Defence Terminology Standardization Board
Duty NCO,duty non-commissioned officer
DVMAG,Defence Visible Minority Advisory Group
DVPN,Defence Virtual Private Network
DVPNI,Defence Virtual Private Network Infrastructure
DVPNI,Defence Virtual Private Networking Infrastructure
DWAN,Defence Wide Area Network
DWAO,Defence Women’s Advisory Organization
EAC,echelon above corps
EAF,Entity Armed Forces
EBS,Enterprise Backup Services
ECS,environmental chief of staff
edn,education
ED&T,Exemption from Duty and Training
EEFI,essential elements of friendly information
EER,explosive echo ranging
EITSM,Enterprise Information Technology Service Management
EMSEC,emission security
ENDEX,end of exercise
Eng O,engineering officer
EO,enabling objective
EOOW,engineer officer of the watch
ERA,explosive reactive armour
ERC,enhanced reliability check
ERC,Expeditionary Readiness Centre
ERN,equipment registration number
ERP,extended-range projectile
ERT,emergency response team
ESB,Electronic Selection Board
ETA,estimated time of arrival
ETC,estimated time of completion
ETD,estimated time of departure
ETR,estimated time of return
ETRO,estimated time of return to operation
ETT,Embedded Training Team
EW,early warning
EW,electronic warfare
EWCC,electronic warfare coordination centre
EWOC,electronic warfare operations centre
EWR,early-warning radar
EWSET,Electronic Warfare Standardization and Evaluation Team
exam,examination
Ext Staff,External Staffing
F of F,field of fire
F&E,furniture and effects
FA,first aid
FAA,forward administrative area
FAASV,field artillery ammunition support vehicle
FAC,forward air controller
FACOM,forward area command
FACP,forward air control post
FARP,forward arming and refuelling point
FASC,forward air support centre
FASCAM,family of scatterable mines
FASM,functional application support manager
FASTAR,forward area surveillance and target acquisition radar
FC,fire chief
FCZ,forward combat zone
fd hosp,field hospital
fd surg hosp,field surgical hospital
FDA,foreign duty allowance
FDU(A),Fleet Diving Unit (Atlantic)
FDU(P),Fleet Diving Unit (Pacific)
Feb,February
FEBA,forward edge of the battle area
FEROP,ferry operation
FFC,field firing centre
FFCP,Future Fighter Capability Project
FFR,fitted for radio
FG,force generation
FGISM,Federated Ground Infrastructure for Satellite Missions
FHP,force health protection
FIBUA,fighting in built-up areas
Fin Clk,finance clerk
Fin O,finance officer
FIR,flight information region
FIS,flight information service
FLCC,forward logistics control centre
FLET,forward line of enemy troops
FLG,forward logistics group
FLIP,flight information publication
FLOC,forward logistics operations centre
FlogO,Formation Logistics Officer
FLOT,forward line of own troops
FLS,forward logistic site
FLT PLN,flight plan
FM,fire marshal
FMF,fleet maintenance facility 
fmn,formation
FMRU,forward medical replenishment unit
FMSD,forward medical supply depot
FNP,fonds non publics
FO,flag-officer
FOA,field operations allowance
FOB,forward operating base
FOL,first official language
fol,follow
FOO,forward observation officer
food svcs,food services
Food Svcs O,food services officer
FP,force protection
FPF,final protective fire
FPX,free-play exercise
FRC,forward regulating centre
FRG,forward repair group
FRP,forward repair platoon
FRT,forward repair team
FSH,forward surgical hospital
FSO,flight safety officer
FSPI,"Foreign Service, Pension and Insurance"
FST,field surgical team
FSV,fire support vehicle
FTC,Federal Terminology Council
FTT,field transfusion team
FTTS,field technical training squadron
FTX,field training exercise
FUM,follow-up meeting
FY,fiscal year
FYA,for your action
FYI,for your information
G1,G1 Personnel and Administration
G1 Svc,G1 Service
G3,G3 Operations
G4,G4 Logistics
G5 ,G5 Public Affairs
G6,G6 TCCCS and Informatics
G9,G9 Liaison and Coordination Office Civil-Military Cooperation
GA,ground attack
GAF,ground attack fighter
